SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-6039;3.8;17:45:37;10;SSE;17:49:39;81;WSW;17:53:43;10;NNW;56319;1 56319U 23058C   26027.48035440  .00000902  00000-0  74773-4 0  9990;2 56319  97.6031  29.8025 0002769  90.0891 270.0650 15.01263105151594
STARLINK-36262;2.5;17:45:38;10;WNW;17:49:02;50;N;17:52:26;10;E;67201;1 67201U 25304K   26027.09607363  .00056954  00000-0  12926-2 0  9992;2 67201  69.9993 282.1546 0003347 266.5369  93.5430 15.42752691  7581
STARLINK-6047;3.9;17:45:38;10;WNW;17:49:53;78;SW;17:54:08;10;SE;56460;1 56460U 23064N   26027.60685970 -.00004183  00000-0 -34289-3 0  9991;2 56460  69.9900 247.9834 0001878 277.2160  82.8785 14.98341159149098
STARLINK-5553;3.7;17:46:28;10;SSE;17:50:26;83;WSW;17:54:26;10;NNW;56333;1 56333U 23058S   26027.48189096  .00000245  00000-0  21173-4 0  9999;2 56333  97.6064  30.5554 0002181  92.8613 267.2863 15.05647290151995
STARLINK-5303;3.8;17:46:39;10;WSW;17:50:54;74;NNW;17:55:09;10;ENE;55630;1 55630U 23021C   26027.14440598 -.00000724  00000-0 -52922-4 0  9998;2 55630  70.0018 309.2685 0002348 268.5353  91.5537 14.98329449162078
STARLINK-5813;3.8;17:46:54;10;WSW;17:51:09;74;NNW;17:55:24;10;ENE;55790;1 55790U 23028BB  26027.47836751 -.00000133  00000-0 -33650-5 0  9990;2 55790  70.0005 308.3441 0003214 271.3179  88.7612 14.98333805160859
STARLINK-35361;4.4;17:47:15;10;ENE;17:49:33;15;NNE;17:51:50;10;N;65667;1 65667U 25211R   26027.54577846  .00014381  00000-0  99858-3 0  9993;2 65667  97.6032  73.5503 0000766  11.2928 348.8316 15.05660167 20859
STARLINK-32581;3.7;17:47:55;10;WNW;17:52:12;81;NNE;17:56:27;10;ESE;62184;1 62184U 24225X   26027.60905122  .00004830  00000-0  41221-3 0  9996;2 62184  70.0051 257.9398 0002770 262.8868  97.1976 14.98337480 63976
STARLINK-33885;4.4;17:47:56;10;SSW;17:51:55;41;SE;17:55:55;10;ENE;63886;1 63886U 25094Y   26027.28035108  .00007460  00000-0  63227-3 0  9995;2 63886  70.0043 338.7329 0002279 271.1346  88.9552 14.98336953 41009
Cosmos 1697 Rocket;4.0;17:48:03;10;NW;17:53:27;47;SW;17:58:51;10;SSE;16182;1 16182U 85097B   26027.27643860  .00000149  00000-0  98905-4 0  9999;2 16182  71.0000 227.7369 0009060 308.5413 224.8614 14.16591378 81363
Cosmos 1937 Rocket;3.8;17:48:26;10;NW;17:53:30;48;NNE;17:58:34;10;E;19039;1 19039U 88029B   26027.67079835  .00000427  00000-0  14361-3 0  9992;2 19039  74.0459 261.2783 0022865  11.3989 348.7679 14.39929855983049
