SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
Meteor 2-10 Rocket;4.4;05:21:40;39;SE;05:23:11;49;E;05:28:37;10;NNE;14453;1 14453U 83109B   26027.50535367  .00000242  00000-0  92554-4 0  9996;2 14453  81.1661 179.9819 0103135 319.0620  40.2846 14.25424663195501
Cosmos 44 Rocket;4.1;05:22:02;48;ESE;05:22:02;48;ESE;05:25:51;10;E;877;1   877U 64053B   26027.63080114  .00000585  00000-0  13763-3 0  9991;2   877  65.0768  91.6097 0077525 305.2961  54.0905 14.61323394260793
FENGYUN 3A;4.5;05:22:50;10;NNE;05:26:45;41;N;05:26:45;41;N;32958;1 32958U 08026A   26027.78336662  .00000200  00000-0  11549-3 0  9996;2 32958  98.6748 331.3537 0008854 165.6580 194.4850 14.19532744915480
ADEOS II;2.3;05:24:00;10;NNE;05:28:23;63;NNE;05:28:23;63;NNE;27597;1 27597U 02056A   26027.50042450  .00000618  00000-0  26076-3 0  9999;2 27597  98.7700 345.7132 0002017 100.8979 259.2430 14.29250710204419
STARLINK-35959;4.2;05:25:05;34;E;05:25:05;34;E;05:27:35;10;E;66827;1 66827U 25280G   26027.49020083  .00050640  00000-0  42144-2 0  9991;2 66827  70.0014  78.3756 0004081 208.4472 151.6465 14.98390340  9906
STARLINK-36073;4.2;05:25:13;34;E;05:25:13;34;E;05:27:44;10;E;66844;1 66844U 25280Z   26027.49031143  .00074140  00000-0  61646-2 0  9998;2 66844  70.0004  78.3737 0002817 254.3548 105.7300 14.98275733  9874
Meteor 1-11 Rocket;3.9;05:26:07;62;N;05:26:07;62;N;05:30:50;10;NNE;5918;1 05918U 72022B   26027.50897895  .00000121  00000-0  64784-4 0  9991;2 05918  81.2392 161.6681 0059357 123.6885 236.9963 14.06292346759849
SL-16 R/B;4.5;05:26:42;15;NNW;05:26:42;15;NNW;05:27:41;10;NNW;27006;1 27006U 01056F   26027.45127002  .00000012  00000-0  65714-4 0  9995;2 27006  99.7604 192.6707 0015261  93.1688 326.6594 13.71089819207544
Cosmos 2074 Rocket;4.5;05:26:57;26;SSE;05:30:25;58;E;05:36:34;10;NNE;20578;1 20578U 90036B   26027.53071910  .00000044  00000-0  28883-4 0  9994;2 20578  82.9442 183.7896 0013097 173.5798 252.9845 13.76632727796523
STARLINK-35768;4.1;05:30:59;37;E;05:30:59;37;E;05:33:40;10;ESE;66832;1 66832U 25280M   26027.82811714  .00002573  00000-0  22330-3 0  9991;2 66832  70.0008  77.5453 0002875 274.8090  85.2740 14.98345741  9950
Nadezhda 3 Rocket;4.0;05:31:12;10;NNW;05:45:01;5;S;05:36:33;64;NW;21153;1 21153U 91019B   26027.53722476  .00000228  00000-0  21727-3 0  9999;2 21153  82.9245  21.6939 0029105   2.8371 116.4910 13.76335066751108
Cosmos 1805 Rocket;4.5;05:33:30;47;ENE;05:33:30;47;ENE;05:37:02;10;NNE;17192;1 17192U 86097B   26027.51625379  .00001023  00000-0  11448-3 0  9992;2 17192  82.5067 180.9321 0016734 156.6379 269.6934 14.85861283 94235
NPP;4.5;05:34:10;10;NNE;05:38:12;39;NNW;05:38:12;39;NNW;37849;1 37849U 11061A   26027.57994159  .00000179  00000-0  10588-3 0  9998;2 37849  98.7823 329.5210 0002101  42.0127 318.1210 14.19530762738497
H-2A R/B;3.5;05:35:14;10;NNE;05:37:15;29;NNE;05:37:15;29;NNE;38341;1 38341U 12025E   26027.49912911  .00005776  00000-0  52583-3 0  9993;2 38341  98.4652 351.2842 0046321  87.6199 273.0321 14.94794552742063
Envisat;3.6;05:35:19;10;NNE;05:39:09;48;N;05:39:09;48;N;27386;1 27386U 02009A   26027.45860610  .00000268  00000-0  10072-3 0  9993;2 27386  98.3662 342.0558 0001234  91.6633  17.5512 14.39020341253241
Cosmos 1500 Rocket;4.3;05:38:08;51;ENE;05:38:08;51;ENE;05:41:54;10;NNE;14373;1 14373U 83099B   26027.50714211  .00001027  00000-0  11409-3 0  9993;2 14373  82.5397 181.1883 0017860 274.8793  85.0384 14.86178708266503
Meteor 1-24 Rocket;3.8;05:38:14;10;NNW;05:44:20;83;ENE;05:50:21;10;SSE;8800;1 08800U 76032B   26027.51312963  .00000121  00000-0  58813-4 0  9994;2 08800  81.2489  35.6052 0093436 275.3857  83.6660 14.10644053561440
Cosmos 1408 Rocket;4.5;05:38:56;45;NE;05:38:56;45;NE;05:42:07;10;NNE;13553;1 13553U 82092B   26027.51976186  .00001000  00000-0  10952-3 0  9999;2 13553  82.5687 179.8951 0021831  78.7048 347.9737 14.86615848322811
Sich 1;4.3;05:39:53;34;NNE;05:39:53;34;NNE;05:42:21;10;NNE;23657;1 23657U 95046A   26027.50655293  .00003677  00000-0  33992-3 0  9991;2 23657  82.5242 176.0074 0019870  76.7320 283.6116 14.94165766644979
STARLINK-35982;3.7;05:42:58;44;E;05:42:58;44;E;05:45:58;10;ESE;66828;1 66828U 25280H   26027.50264316 -.00014106  00000-0 -11768-2 0  9990;2 66828  70.0015  78.4171 0002821 268.1805  91.9031 14.98329880  9909
STARLINK-35896;3.7;05:44:08;44;E;05:44:08;44;E;05:47:08;10;ESE;66824;1 66824U 25280D   26027.57007078  .00010790  00000-0  89228-3 0  9993;2 66824  70.0021  78.2563 0002356 265.5018  94.5872 14.99120397  9911
STARLINK-35842;4.5;05:44:15;24;ENE;05:44:15;24;ENE;05:45:49;10;ENE;67087;1 67087U 25298N   26027.43614749  .00053739  00000-0  12218-2 0  9992;2 67087  69.9982 124.2711 0002912 255.4825 104.6034 15.42716998  6899
