SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
MSX;4.5;05:14:53;10;NNE;05:19:30;45;NNW;05:19:30;45;NNW;23851;1 23851U 96024A   26027.78364416 -.00000190  00000-0 -10247-3 0  9995;2 23851  99.0312 326.9530 0006901 264.2588  95.7789 13.98375938518728
STARLINK-35717;4.5;05:15:17;29;E;05:15:17;29;E;05:17:29;10;ESE;66839;1 66839U 25280U   26027.48178188 -.00011135  00000-0 -92373-3 0  9991;2 66839  69.9998  78.3418 0004440 299.3488  60.7228 14.98456499  9902
STARLINK-35958;4.5;05:15:20;29;E;05:15:20;29;E;05:17:30;10;ESE;66822;1 66822U 25280B   26027.48181352  .00065072  00000-0  53938-2 0  9990;2 66822  70.0042  78.3473 0007826 211.0516 149.0182 14.98434648  9904
NPP;4.5;05:15:21;10;NNE;05:19:16;41;N;05:19:16;41;N;37849;1 37849U 11061A   26027.86188320  .00000172  00000-0  10275-3 0  9991;2 37849  98.7823 329.8005 0002088  41.4184 318.7150 14.19530883738530
Meteor 1-11 Rocket;4.0;05:20:36;60;N;05:20:36;60;N;05:25:12;10;NNE;5918;1  5918U 72022B   26027.79357390  .00000116  00000-0  61343-4 0  9995;2  5918  81.2393 161.3927 0059350 122.9035 237.7863 14.06292366759886
CZ-4C R/B;3.3;05:20:55;42;S;05:20:55;42;S;05:26:36;10;SE;36416;1 36416U 10009D   26027.55752917  .00001576  00000-0  31898-3 0  9999;2 36416  63.3876  66.2353 0686556   2.3604 358.0405 13.72795134795278
H-2A R/B;2.2;05:21:06;10;NNE;05:26:11;77;NE;05:26:11;77;NE;27601;1 27601U 02056E   26027.80387993  .00000641  00000-0  23958-3 0  9994;2 27601  98.3130 349.7449 0069083 283.8067  96.6746 14.33728139208258
STARLINK-35890;4.3;05:21:23;32;E;05:21:23;32;E;05:23:45;10;ESE;66835;1 66835U 25280Q   26027.55273259  .00008925  00000-0  75423-3 0  9998;2 66835  70.0006  78.1901 0003475 272.2116  87.8645 14.98360841  9910
Cosmos 1814 Rocket;4.3;05:24:21;63;NE;05:24:21;63;NE;05:29:32;10;ESE;17304;1 17304U 87006B   26027.52391755  .00000445  00000-0  15147-3 0  9994;2 17304  74.0564  63.9051 0029410 197.4835 162.5310 14.39116976 45329
IDEFIX/ARIANE 42P;3.6;05:24:43;10;NNE;05:28:19;35;NNW;05:28:19;35;NNW;27422;1 27422U 02021B   26027.80203706  .00000557  00000-0  22835-3 0  9995;2 27422  98.5831 326.9078 0011055 312.2944  47.7301 14.30994093238170
AQUA;4.3;05:25:33;10;NNE;05:29:29;58;NE;05:29:29;58;NE;27424;1 27424U 02022A   26027.88561574  .00001798  00000-0  36942-3 0  9998;2 27424  98.4102 354.5311 0001840  63.5604 322.5877 14.61868111262779
STARLINK-35959;4.2;05:27:27;34;E;05:27:27;34;E;05:29:55;10;ESE;66827;1 66827U 25280G   26027.49020083  .00050640  00000-0  42144-2 0  9991;2 66827  70.0014  78.3756 0004081 208.4472 151.6465 14.98390340  9906
STARLINK-36073;4.2;05:27:40;34;E;05:27:40;34;E;05:30:10;10;ESE;66844;1 66844U 25280Z   26027.49031143  .00074140  00000-0  61646-2 0  9998;2 66844  70.0004  78.3737 0002817 254.3548 105.7300 14.98275733  9874
Meteor 1-24 Rocket;3.9;05:28:10;10;NNW;05:34:16;81;ENE;05:40:16;10;SSE;8800;1  8800U 76032B   26027.72591696  .00000116  00000-0  56053-4 0  9997;2  8800  81.2489  35.3979 0093435 274.7742  84.2765 14.10644060561474
ACS3 Solar Sail;2.1;05:29:42;10;NNE;05:34:56;51;NNW;05:34:56;51;NNW;59588;1 59588U 24077B   26027.86178924  .00025583  00000-0  21297-1 0  9992;2 59588  97.2300 338.1490 0048160 211.1064 148.7246 13.87863341 88530
GEOS 3 Rocket;3.8;05:30:21;10;ESE;05:35:03;62;SSE;05:35:03;62;SSE;7735;1  7735U 75027B   26027.52837905  .00000151  00000-0  13686-3 0  9993;2  7735 114.9731 263.2213 0053013 295.3588  64.2011 14.25549957638429
